homelat,homelon,n
7.9463,-72.8988,3393
0.436,-75.5277,1294
4.461,-75.6674,476
5.3158,-75.9928,2291
12.5567,-81.7185,45
6.6437,-73.6536,5510
8.814,-74.7233,6984
4.0925,-75.1545,3287
null,null,0
3.8009,-76.6413,29754
0.8554,-70.812,61
4.4234,-69.2878,13
47.0000,2.0000,218763
4.0000,-53.0000,8127
-17.6797,-149.4068,64
16.2500,-61.5833,279
14.6415,-61.0242,276
-12.8431,45.1383,3042
-20.9043,165.6180,22
-21.1351,55.2471,671
17.9000,-62.8333,9
46.8852,-56.3159,4
18.0708,-63.0501,53
28.3949,84.1240,21750
53.9333,-116.5765,11296
53.7267,-127.6476,3881
0.0,0.0,0
37.6489,-122.6655,13
53.7609,-98.8139,474
46.5653,-66.4619,176
53.1355,-57.6604,266
64.8255,-124.8457,5
44.6820,-63.7443,1071
51.2538,-85.3232,41635
46.5107,-63.4168,36
52.9399,-73.5491,60133
52.9399,-106.4509,1387
64.2823,-135.0,14
12.5657,104.9910,243
7.8731,80.7718,2839
7.5400,-5.5471,16447
48.6616,9.3501,37647
48.7904,11.4979,51583
52.52,13.405,9542
52.4125,12.5316,3622
53.0793,8.8017,1801
53.5511,9.9937,5529
50.6521,9.1624,12310
53.6127,12.4296,910
52.6367,9.8451,14736
51.4332,7.6616,50493
50.1183,7.309,7687
49.3964,7.023,2897
51.1045,13.2017,5588
51.9503,11.6923,2050
54.2194,9.6961,3569
51.011,10.8453,3401
null,null,1674
61.9241,25.7482,7532
23.4241,53.8478,61845
11.225999,92.968178,1123
15.9129,79.74,196789
27.768456,96.384277,1948
26.357149,92.830441,52817
25.679658,85.60484,67788
30.733839,76.76827800000002,1327
21.264705,82.035366,10932
20.194742,73.080901,1391
28.646519,77.10898,141531
15.359682,74.057396,7614
22.694884,71.590923,67699
29.20004,76.332824,39303
31.927213,77.233081,3047
33.75943,76.612638,23454
23.654536,85.557631,15756
14.70518,76.166436,158254
10.450898,76.405749,30449
34.1526,77.5771,1595
13.6999972,72.18333259999999,0
23.541513,78.289633,36564
19.449759,76.108221,479779
24.738975,93.882541,3217
25.536934,91.278882,990
23.309381,92.83822,539
26.06702,94.470302,2580
20.505428,84.418059,40717
11.882658,78.86498,4621
30.841465000000003,75.40879,20891
26.583423,73.847973,48996
27.571671,88.472712,829
11.006091,78.400624,279144
18.1124,79.0193,75257
23.746783,91.743565,5853
null,null,0
26.925425,80.560982,108974
30.156447,79.197608,8552
23.814082,87.979803,86754
42.35122196,13.39843823,3435
40.63947052,15.80514834,454
38.90597598,16.59440194,1276
40.83956555,14.25084984,5035
44.49436681,11.341720800000001,29954
45.6494354,13.76813649,3432
41.89277044,12.48366722,8744
44.41149315,8.9326992,10263
45.46679409,9.190347404,96637
43.61675973,13.5188753,6914
41.55774754,14.65916051,478
46.49933453,11.35662422,2757
46.06893511,11.12123097,4988
45.0732745,7.680687483,31762
41.12559576,16.86736689,4685
39.21531192,9.110616306,1430
38.11569725,13.362356699999998,3369
43.76923077,11.25588885,10547
43.10675841,12.38824698,1482
45.73750286,7.320149366,1210
45.43490485,12.33845213,20352
18.2206,-63.0686,3
32.3078,-64.7505,157
18.4207,-64.64,9
19.3133,-81.2546,203
49.3723,-2.3644,597
52.3555,-1.1743,265849
-51.7963,-59.5236,13
36.1408,-5.3536,190
54.2361,-4.5481,336
16.7425,-62.1874,13
54.7877,-6.4923,6049
56.4907,-4.2026,18847
21.69400000000001,-71.7979,141
null,null,0
52.1307,-3.7837,17389
44.6939006,40.1520421,2906
52.6932243,82.69314240000001,9714
50.7114101,86.8572186,1661
52.8032368,128.437295,2887
63.5589686,43.1221646,9101
47.1878186,47.608851,4792
54.8573563,57.1439682,6955
50.7080119,37.5837615,6220
52.8873315,33.41585300000001,7546
52.7182426,109.492143,4287
43.39761470000001,45.6985005,2122
54.4223954,61.1865846,11823
66.0006475,169.4900869,157
55.4259922,47.0849429,6947
43.05749160000001,47.1332224,9517
43.11542075,45.01713552,3792
56.6370122,104.719221,14251
56.9167446,41.43521370000001,6572
48.57527615,132.66307460000002,547
43.4806048,43.5978976,6069
54.7293041,21.1489473,2958
46.2313018,45.3275745,2839
54.4382773,35.5272854,7363
57.1914882,160.03838190000005,3456
43.7368326,41.7267991,4507
62.61940309999999,33.4920267,2466
54.53357809999999,87.342861,4062
51.6312684,136.121524,8178
53.72258845,91.44293627,2965
61.0259025,69.0982628,17349
57.9665589,49.4074599,5095
63.9881421,54.3326073,5567
58.424756,44.2533273,2423
45.7684014,39.0261044,8946
63.3233807,97.0979974,13936
55.7655302,64.5632681,2426
51.6568453,36.4852695,6372
60.1853296,32.3925325,6086
52.6935178,39.1122664,4646
62.48858785,153.9903764,1442
56.5767504,47.8817512,3859
54.4419829,44.4661144,4679
55.7504461,37.6174943,245468
55.50431579999999,38.0353929,64397
68.00004179999999,33.9999151,11017
68.27557185,57.1686375,284
55.47180329999999,44.0911594,24551
42.79336110000001,44.6324493,4604
58.2843833,32.5169757,3859
54.9720169,79.48139240000002,9939
56.09352629999999,73.5099936,7424
52.96854329999999,36.0692477,5848
52.02692620000001,54.7276647,7553
53.1655415,44.78791810000001,6801
58.5951603,56.3159546,6296
45.0819456,134.726645,7414
57.5358729,28.8586826,3869
47.6222451,40.7957942,13723
54.42267320000001,40.57052460000001,6464
59.9606739,30.158655100000004,32418
66.941626,129.642371,6116
49.7219665,143.448533,2944
53.2128813,50.8914633,7089
51.6520555,46.86319520000001,9968
55.03434960000001,33.0192065,5767
44.86325770000001,43.4406913,8895
58.6414755,61.8021546,21725
52.9019574,41.3578918,6157
55.7648572,52.43104273,5781
58.6124279,82.04753149999998,4471
53.9570701,37.3690909,8506
57.1134475,35.174442799999994,4763
58.8206488,70.36588370000001,6351
51.4017149,93.8582593,6258
57.1961165,52.69598320000001,2492
54.1463177,47.2324921,9735
56.0503336,40.6561633,5725
49.6048339,44.29035820000001,9711
60.0391461,43.1215213,2571
50.9800393,40.15065070000001,11705
67.1471631,74.3415488,11621
57.77819760000001,39.0021095,6268
52.248521,115.956325,4153
56.2784,15.017999999999999,514
61.0917,14.6664,1996
61.3012,16.1534,3158
