homelat,homelon,n
66.8309,20.3992,1615
7.9463,-72.8988,3393
42.79336110000001,44.6324493,4604
54.7877,-6.4923,6049
15.0979,145.6739,47
-12.4634,130.8456,33
64.8255,-124.8457,5
44.6820,-63.7443,1071
58.2843833,32.5169757,3859
54.9720169,79.48139240000002,9939
-36.7226,-71.7622,3656
25.5922,-99.9962,20538
-48.4674,-72.5592,11088
17.0732,-96.7266,11325
46.4846,30.7326,3748
20.505428,84.418059,40717
33.200697,131.43323999999998,76
34.89246,133.826252,103
25.768923,126.668016,790
56.09352629999999,73.5099936,7424
51.2538,-85.3232,41635
59.535,15.0066,2539
52.96854329999999,36.0692477,5848
52.02692620000001,54.7276647,7553
34.620965000000005,135.507481,5141
58.3454,15.5198,3584
52.444557999999994,6.441722,3213
46.49933453,11.35662422,2757
46.06893511,11.12123097,4988
42.9896,-2.6189,17411
-1.9981,-54.9306,162822
-7.24,-36.782,87867
-25.2521,-52.0215,87269
-10.39655,-75.307635,2225
53.1655415,44.78791810000001,6801
58.5951603,56.3159546,6296
-8.8137,-36.9541,101395
-7.7183,-42.7289,57100
45.0732745,7.680687483,31762
-5.133361,-80.335861,21871
49.5883,34.5514,477
null,null,655
45.0819456,134.726645,7414
46.5107,-63.4168,36
57.5358729,28.8586826,3869
11.882658,78.86498,4621
19.0414,-98.2063,21650
41.12559576,16.86736689,4685
30.841465000000003,75.40879,20891
30.811346,72.13913199999998,93847
-14.995826999999998,-69.922726,2860
0.436,-75.5277,1294
35.7452,95.9956,18
52.9399,-73.5491,60133
-28.0167,153.4000,1087
20.5888,-100.3899,4015
4.461,-75.6674,476
19.1817,-88.4791,8359
26.583423,73.847973,48996
0.0,0.0,0
-21.1351,55.2471,671
50.1183,7.309,7687
-5.4026,-36.9541,54106
-30.0346,-51.2177,78837
-22.9068,-43.1729,174064
5.3158,-75.9928,2291
50.6199,26.2516,6538
-11.5057,-63.5806,42725
-2.7376,-62.0751,34929
47.6222451,40.7957942,13723
54.42267320000001,40.57052460000001,6464
49.3964,7.023,2897
51.1045,13.2017,5588
51.9503,11.6923,2050
33.286977,130.115738,132
17.9000,-62.8333,9
59.9606739,30.158655100000004,32418
46.8852,-56.3159,4
35.997101,139.347635,2691
66.941626,129.642371,6116
49.7219665,143.448533,2944
53.2128813,50.8914633,7089
12.5567,-81.7185,45
22.1565,-100.9855,11423
-7.039531,-76.729127,9460
-27.2423,-50.2189,98634
6.6437,-73.6536,5510
-23.5505,-46.6333,598670
51.6520555,46.86319520000001,9968
39.21531192,9.110616306,1430
52.9399,-106.4509,1387
54.2194,9.6961,3569
56.4907,-4.2026,18847
-10.5741,-37.3857,62844
44.6054,33.522,360
35.1917,108.8701,328
36.3427,118.1498,805
31.2020,121.4491,764
37.5777,112.2922,201
35.21582700000001,136.13806399999999,242
35.07076,132.55406399999998,29
34.916975,138.40778400000002,346
30.6171,102.7103,611
38.11569725,13.362356699999998,3369
27.571671,88.472712,829
25.1721,-107.4795,13387
26.009446,68.77680699999999,122373
18.0425,-63.0548,176
55.9903,13.5958,3826
55.03434960000001,33.0192065,5767
29.2972,-110.3309,18597
59.0336,16.7519,2397
-34.9285,138.6007,459
18.0708,-63.0501,53
44.86325770000001,43.4406913,8895
59.6025,18.1384,23575
8.814,-74.7233,6984
50.9077,34.7981,594
58.6414755,61.8021546,21725
17.8409,-92.6189,23591
-17.644160999999997,-70.27756,3522
24.2669,-98.8363,17529
52.9019574,41.3578918,6157
11.006091,78.400624,279144
-19.9232,-69.5132,9167
-41.4545,145.9707,229
55.7648572,52.43104273,5781
18.1124,79.0193,75257
49.5535,25.5948,3177
51.011,10.8453,3401
39.3054,117.3230,205
31.6927,88.0924,1
19.3139,-98.2404,4938
-10.1753,-48.2982,29539
36.689912,139.819213,230
33.919178,134.242091,55
35.711343,139.446921,14655
4.0925,-75.1545,3287
58.6124279,82.04753149999998,4471
43.76923077,11.25588885,10547
35.359069,133.863619,21
36.637464,137.26934599999998,266
23.746783,91.743565,5853
53.9570701,37.3690909,8506
-3.857496,-80.54525500000003,4423
21.69400000000001,-71.7979,141
57.1134475,35.174442799999994,4763
58.8206488,70.36588370000001,6351
51.4017149,93.8582593,6258
-9.621718,-73.444929,10507
57.1961165,52.69598320000001,2492
54.1463177,47.2324921,9735
43.10675841,12.38824698,1482
null,null,68
null,null,1674
null,null,0
null,null,8
null,null,529
null,null,0
null,null,0
null,null,0
60.0092,17.2715,3602
52.084251,5.163824,4531
26.925425,80.560982,108974
30.156447,79.197608,8552
